text,label
Congratulations! You've won a free iPhone,threat
Your bank account has been suspended,threat
"Hi, this is your bank verifying your details",threat
Meeting scheduled for tomorrow at 2 PM,safe
Urgent: Complete your KYC now to avoid account closure,threat
You have a package waiting for pickup,threat
Your transaction is confirmed,safe
Important: Verify your account details now,threat
"Hello, how are you?",safe
Click this link to claim your prize,threat
"You have won 5,000,000 RWF in the MTN lucky draw! Send 10,000 RWF to claim.",threat
Your Mobile Money account has been suspended. Call 078XXXXXXX to reactivate.,threat
"Dear customer, your bank account will be closed today. Click this link to verify: fakebank.rw",threat
"URGENT: Your ID card is under investigation. Pay 50,000 RWF to avoid arrest.",threat
"Get a government job now! Just pay 100,000 RWF for processing fees.",threat
"A package is waiting for you at customs. Pay 30,000 RWF for clearance.",threat
Your SIM card has been blocked. Dial *123# to verify now.,threat
Exclusive deal! Buy a smartphone at 80% discount. Send payment to 078XXXXXXX.,threat
"RRA tax alert: Your business has unpaid taxes. Pay 500,000 RWF now or face legal action.",threat
URGENT: Your WhatsApp will be deactivated unless you verify within 24 hours: fakewhatsapp.com,threat
"Congratulations! You’ve won 100,000 RWF. Send 5,000 RWF to claim.",threat
"Final notice: Pay 10,000 RWF to clear your customs package.",threat
"Your sim card has been deactivated. Send 5,000 RWF to reactivate now.",threat
"Final notice: Pay 20,000 RWF to clear your customs package.",threat
"URGENT: Pay 20,000 RWF now to avoid police action on your ID issue.",threat
"URGENT: Pay 5,000 RWF now to avoid police action on your ID issue.",threat
Your Mobile Money account has been locked. Call 079XXXXXXX for help.,threat
"URGENT: Pay 50,000 RWF now to avoid police action on your ID issue.",threat
"URGENT: Pay 10,000 RWF now to avoid police action on your ID issue.",threat
"Congratulations! You’ve won 5,000,000 RWF. Send 5,000 RWF to claim.",threat
"Congratulations! You’ve won 5,000,000 RWF. Send 20,000 RWF to claim.",threat
"MTN lottery winner! You have 5,000,000 RWF. Send 50,000 RWF for activation.",threat
"Get a job at Police Department by paying 20,000 RWF processing fee.",threat
"Your sim card has been deactivated. Send 5,000 RWF to reactivate now.",threat
"Get a job at Government Office by paying 50,000 RWF processing fee.",threat
Your Mobile Money account has been locked. Call 073XXXXXXX for help.,threat
Your account at Equity Bank is blocked. Click this link: fakebank.rw to reactivate.,threat
"Congratulations! You’ve won 10,000,000 RWF. Send 10,000 RWF to claim.",threat
"Hello, I mistakenly sent you 1,000,000 RWF. Please refund to 079XXXXXXX.",threat
Your WhatsApp will be deleted unless you verify at fakebank.rw.,threat
Your account at Equity Bank is blocked. Click this link: fakebank.rw to reactivate.,threat
"Final notice: Pay 10,000 RWF to clear your customs package.",threat
Your account at GTBank is blocked. Click this link: fakebank.rw to reactivate.,threat
Your WhatsApp will be deleted unless you verify at lottery-claim.com.,threat
"MTN lottery winner! You have 5,000,000 RWF. Send 10,000 RWF for activation.",threat
Your Mobile Money account has been locked. Call 079XXXXXXX for help.,threat
"Get a job at Rwanda Revenue Authority by paying 10,000 RWF processing fee.",threat
"URGENT: Pay 20,000 RWF now to avoid police action on your ID issue.",threat
"Your sim card has been deactivated. Send 20,000 RWF to reactivate now.",threat
Your WhatsApp will be deleted unless you verify at fakebank.rw.,threat
"Final notice: Pay 20,000 RWF to clear your customs package.",threat
"Get a job at Police Department by paying 20,000 RWF processing fee.",threat
"Get a job at Police Department by paying 5,000 RWF processing fee.",threat
"MTN lottery winner! You have 1,000,000 RWF. Send 10,000 RWF for activation.",threat
"Get a job at Police Department by paying 10,000 RWF processing fee.",threat
"Your sim card has been deactivated. Send 50,000 RWF to reactivate now.",threat
Your Mobile Money account has been locked. Call 078XXXXXXX for help.,threat
"Get a job at Rwanda Revenue Authority by paying 50,000 RWF processing fee.",threat
"MTN lottery winner! You have 1,000,000 RWF. Send 20,000 RWF for activation.",threat
"Hello, I mistakenly sent you 100,000 RWF. Please refund to 073XXXXXXX.",threat
Your account at BK is blocked. Click this link: fakebank.rw to reactivate.,threat
Your WhatsApp will be deleted unless you verify at lottery-claim.com.,threat
"MTN lottery winner! You have 100,000 RWF. Send 20,000 RWF for activation.",threat
"URGENT: Pay 5,000 RWF now to avoid police action on your ID issue.",threat
"Congratulations! You’ve won 1,000,000 RWF. Send 20,000 RWF to claim.",threat
"MTN lottery winner! You have 10,000,000 RWF. Send 50,000 RWF for activation.",threat
"Hello, I mistakenly sent you 1,000,000 RWF. Please refund to 078XXXXXXX.",threat
Your account at GTBank is blocked. Click this link: lottery-claim.com to reactivate.,threat
"Hello, I mistakenly sent you 5,000,000 RWF. Please refund to 079XXXXXXX.",threat
Your account at BK is blocked. Click this link: lottery-claim.com to reactivate.,threat
"MTN lottery winner! You have 5,000,000 RWF. Send 10,000 RWF for activation.",threat
"Congratulations! You’ve won 100,000 RWF. Send 10,000 RWF to claim.",threat
"Congratulations! You’ve won 100,000 RWF. Send 50,000 RWF to claim.",threat
"Get a job at Rwanda Revenue Authority by paying 10,000 RWF processing fee.",threat
"Your sim card has been deactivated. Send 10,000 RWF to reactivate now.",threat
"Your sim card has been deactivated. Send 50,000 RWF to reactivate now.",threat
"Final notice: Pay 5,000 RWF to clear your customs package.",threat
"Congratulations! You’ve won 10,000,000 RWF. Send 10,000 RWF to claim.",threat
"Your sim card has been deactivated. Send 50,000 RWF to reactivate now.",threat
"URGENT: Pay 10,000 RWF now to avoid police action on your ID issue.",threat
"Final notice: Pay 50,000 RWF to clear your customs package.",threat
"Your sim card has been deactivated. Send 5,000 RWF to reactivate now.",threat
Your Mobile Money account has been locked. Call 078XXXXXXX for help.,threat
